model,cv_accuracy_mean,cv_accuracy_std,train_accuracy,train_f1,val_accuracy,val_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,confusion_matrix,true_positives,false_positives,false_negatives,true_negatives,note
Logistic Regression,0.6666666666666666,0.07902063521457754,0.7636363636363637,0.7669421487603306,0.6571428571428571,0.6639097744360902,0.7222222222222222,0.7435500515995872,0.7222222222222222,0.7239422084623324,0.8126984126984127,"[[14, 7], [3, 12]]",14.0,3.0,7.0,12.0,
Logistic Regression (L1),0.6242424242424243,0.08265564664839913,0.6181818181818182,0.6222639296187683,0.6285714285714286,0.637173579109063,0.5833333333333334,0.625,0.5833333333333334,0.5810810810810811,0.7238095238095239,"[[10, 11], [4, 11]]",10.0,4.0,11.0,11.0,
SVM (Linear),0.6606060606060605,0.07015658728963772,0.8121212121212121,0.8146592572124487,0.6857142857142857,0.6929930284768995,0.6944444444444444,0.7083333333333334,0.6944444444444444,0.6965811965811965,0.7904761904761906,"[[14, 7], [4, 11]]",14.0,4.0,7.0,11.0,
SVM (RBF),0.6666666666666666,0.0919136417460794,0.8848484848484849,0.8861898360328828,0.7428571428571429,0.7488124778447359,0.7222222222222222,0.7435500515995872,0.7222222222222222,0.7239422084623324,0.8317460317460317,"[[14, 7], [3, 12]]",14.0,3.0,7.0,12.0,
Random Forest,0.7454545454545455,0.08698606117822619,1.0,1.0,0.8,0.7918367346938775,0.8055555555555556,0.8237179487179487,0.8055555555555556,0.7964539007092198,0.8587301587301587,"[[20, 1], [6, 9]]",20.0,6.0,1.0,9.0,
Gradient Boosting,0.7333333333333333,0.06180629713445801,1.0,1.0,0.8285714285714286,0.8312687312687312,0.6666666666666666,0.6618181818181819,0.6666666666666666,0.6555183946488294,0.8063492063492064,"[[17, 4], [8, 7]]",17.0,8.0,4.0,7.0,
K-Nearest Neighbors,0.7393939393939395,0.08265564664839913,1.0,1.0,0.6285714285714286,0.6379430493812328,0.7777777777777778,0.7770345596432553,0.7777777777777778,0.774891774891775,0.8095238095238095,"[[18, 3], [5, 10]]",18.0,5.0,3.0,10.0,
Decision Tree,0.6666666666666666,0.07902063521457758,1.0,1.0,0.7142857142857143,0.7214285714285714,0.7222222222222222,0.7301341589267286,0.7222222222222222,0.7239583333333334,0.7238095238095238,"[[15, 6], [4, 11]]",15.0,4.0,6.0,11.0,
Naive Bayes,0.6303030303030303,0.10032088095301121,0.7454545454545455,0.7490469208211143,0.5714285714285714,0.5777465777465778,0.6666666666666666,0.7047619047619048,0.6666666666666666,0.6666666666666666,0.707936507936508,"[[12, 9], [3, 12]]",12.0,3.0,9.0,12.0,
MLP (Deep Learning),,,,,0.9143,,0.8055555555555556,,,0.8012345679012346,,,,,,,Trained separately with early stopping
