model,type,cv_accuracy_mean,cv_accuracy_std,train_accuracy,train_f1,val_accuracy,val_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,confusion_matrix
Logistic Regression,Traditional ML,0.8275,0.05937171043518959,0.8675,0.86756381388425,0.8095238095238095,0.8095238095238095,0.6190476190476191,0.6218614718614719,0.6190476190476191,0.6190476190476191,0.6977272727272728,"[[13, 9], [7, 13]]"
Logistic Regression (L1),Traditional ML,0.745,0.05567764362830022,0.8,0.7999499987499687,0.8095238095238095,0.8086580086580087,0.6428571428571429,0.6482510624387054,0.6428571428571429,0.6422494125273479,0.6909090909090909,"[[13, 9], [6, 14]]"
SVM (Linear),Traditional ML,0.8549999999999999,0.05220153254455278,0.935,0.9350130208333333,0.7619047619047619,0.7619047619047619,0.6904761904761905,0.691609977324263,0.6904761904761905,0.6906517570159091,0.740909090909091,"[[15, 7], [6, 14]]"
SVM (RBF),Traditional ML,0.9275,0.024238399287081644,0.975,0.9750112601341206,0.8333333333333334,0.8318957255127467,0.6904761904761905,0.691609977324263,0.6904761904761905,0.6906517570159091,0.7909090909090909,"[[15, 7], [6, 14]]"
Decision Tree,Traditional ML,0.7849999999999999,0.051478150704935006,1.0,1.0,0.8095238095238095,0.806878306878307,0.6428571428571429,0.6554621848739496,0.6428571428571429,0.6398046398046399,0.6477272727272727,"[[12, 10], [5, 15]]"
Random Forest,Traditional ML,0.925,0.02622022120425378,1.0,1.0,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.6269841269841271,0.6190476190476191,0.6173160173160173,0.6795454545454545,"[[12, 10], [6, 14]]"
Gradient Boosting,Traditional ML,0.9199999999999999,0.020310096011589906,1.0,1.0,0.8333333333333334,0.8330484330484331,0.6190476190476191,0.6269841269841271,0.6190476190476191,0.6173160173160173,0.7045454545454546,"[[12, 10], [6, 14]]"
K-Nearest Neighbors,Traditional ML,0.9175000000000001,0.03221024681681278,1.0,1.0,0.7857142857142857,0.7776928953399542,0.5952380952380952,0.5943977591036415,0.5952380952380952,0.591746761959528,0.6386363636363637,"[[15, 7], [10, 10]]"
Naive Bayes,Traditional ML,0.7424999999999999,0.036742346141747685,0.7775,0.7763579302953767,0.7380952380952381,0.7328240094197541,0.5,0.5058823529411764,0.5,0.49572649572649574,0.5568181818181819,"[[9, 13], [8, 12]]"
Linear NN (No Hidden Layers),Neural Network,,,0.9275,0.9275077170639467,0.7857142857142857,0.7853479853479854,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7545454545454545,"[[16, 6], [6, 14]]"
Shallow MLP (1 Hidden Layer),Neural Network,,,0.9825,0.9825071168922173,0.8095238095238095,0.8086520649449711,0.7380952380952381,0.7380407540590607,0.7380952380952381,0.7376475376475375,0.8113636363636364,"[[17, 5], [6, 14]]"
Medium MLP (2 Hidden Layers),Neural Network,,,1.0,1.0,0.8571428571428571,0.8564890487087284,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8272727272727273,"[[18, 4], [4, 16]]"
Deep MLP (3 Hidden Layers) [Proposed],Neural Network,,,1.0,1.0,0.7857142857142857,0.7853479853479854,0.7857142857142857,0.785877737822818,0.7857142857142857,0.7853479853479854,0.7954545454545454,"[[18, 4], [5, 15]]"
